Relative abundance	Group	tax
0.0190824328018	Health	Campylobacter
0.00394827763508	Carries	Campylobacter
0.00378658893345	Health	Campylobacter
0.00527799081095	Carries	Campylobacter
0.00234771429724	Carries	Campylobacter
0.00334001637746	Carries	Campylobacter
0.00561615020711	Health	Campylobacter
0.0257063784185	Carries	Campylobacter
0.0101305148603	Carries	Campylobacter
0.00748358203304	Carries	Campylobacter
0.000967810166498	Health	Campylobacter
0.00530700745408	Carries	Campylobacter
0.00843361770139	Carries	Campylobacter
0.00713203612202	Health	Campylobacter
0.0106613528947	Carries	Campylobacter
0.00814115864276	Carries	Campylobacter
0.00749768842176	Carries	Campylobacter
0.0164939794121	Health	Campylobacter
0.0113095861415	Health	Campylobacter
0.00830425174482	Carries	Campylobacter
0.00237564299608	Carries	Campylobacter
0.00858904830699	Health	Campylobacter
0.0122075507552	Health	Campylobacter
0.0062287229383	Carries	Campylobacter
0.00463822392102	Carries	Campylobacter
0.0131859509737	Carries	Campylobacter
0.0183038512888	Carries	Campylobacter
0.00633487842348	Health	Campylobacter
0.00675406528123	Carries	Campylobacter
0.00308675326578	Health	Campylobacter
0.00283436062911	Carries	Campylobacter
0.0079320963479	Carries	Campylobacter
0.00505455293465	Health	Campylobacter
0.00726308489606	Health	Campylobacter
0.0101738581573	Carries	Campylobacter
0.0094730997421	Carries	Campylobacter
0.00162137379579	Health	Campylobacter
0.00612435030292	Carries	Campylobacter
0.00730218943055	Health	Campylobacter
0.00353312133937	Carries	Campylobacter
0.00497847533066	Health	Campylobacter
0.00465091551107	Health	Campylobacter
0.00929232926616	Health	Campylobacter
0.00835258226063	Health	Campylobacter
